Strategic,Random,0,0.61
Strategic,Random,200,0.52
Strategic,Random,400,0.7
Strategic,Random,600,0.56
Strategic,Random,800,0.76
Strategic,Random,1000,0.6
Strategic,Random,1200,0.83
Strategic,Random,1400,0.71
Strategic,Random,1600,0.86
Strategic,Random,1800,0.78
Strategic,Random,2000,0.78
Strategic,Random,2200,0.8
Strategic,Random,2400,0.78
Strategic,Random,2600,0.81
Strategic,Random,2800,0.86
Strategic,Random,3000,0.81
Strategic,Random,3200,0.83
Strategic,Random,3400,0.83
Strategic,Random,3600,0.87
Strategic,Random,3800,0.69
Strategic,Random,4000,0.8
Strategic,Random,4200,0.76
Strategic,Random,4400,0.82
Strategic,Random,4600,0.58
Strategic,Random,4800,0.81
